Country,alpha_3_code,Year,Waste
United Kingdom,GBR,2009,32507.45
United Kingdom,GBR,2010,31954.51
United Kingdom,GBR,2011,31066.06
United Kingdom,GBR,2012,30412.98
United Kingdom,GBR,2013,30890.41
United Kingdom,GBR,2014,31129.42
United Kingdom,GBR,2015,31475.01
United Kingdom,GBR,2016,31710
United Kingdom,GBR,2017,30912
United Kingdom,GBR,2018,30786
United Kingdom,GBR,2019,30707
United States,USA,1990,188939
United States,USA,1991,188449
United States,USA,1992,194990
United States,USA,1993,197748
United States,USA,1994,200742
United States,USA,1995,197113
United States,USA,1996,195943
United States,USA,1997,202393
United States,USA,1998,206040
United States,USA,1999,213080
United States,USA,2000,220854
United States,USA,2001,218450
United States,USA,2002,222560
United States,USA,2003,223548
United States,USA,2004,230534
United States,USA,2005,230180
United States,USA,2006,233237
United States,USA,2007,232693
United States,USA,2008,229200
United States,USA,2009,222188
United States,USA,2010,227749
United States,USA,2011,228583
United States,USA,2012,228873.6
United States,USA,2013,231395.6
United States,USA,2014,234416.5
United States,USA,2015,237782.192
United States,USA,2016,243225
United States,USA,2017,243724.3
United States,USA,2018,265224.5
