place,lat,lon
Melbourne,"	-37.840935",144.96332
Sydney,-33.758011,"	150.705444"
Adelaide,-34.92123,"	138.599503"
Perth,-31.953512,115.857048
Brisbane,-27.470125,153.021072
Canberra,"	-35.282001","	149.128998"
Darwin,-12.462827,130.841782
Hobart,"	-42.880554",147.324997
