year,total_annual_tonnes_collected,total_annual_tonnes_processed
2001,1583939,449780
2002,1595576,508123
2003,1672695,562573
2004,1758630,670938
2005,1816819,727582
2006,1806496,746315
2007,1873740,795881
2008,1899394,810442
2009,1984583,870897
2010,2101771,945151
2011,2127080,960368
2012,2070220,922086
2013,2117723,938586
2014,2132617,936623
2015,2144496,949917
2016,2231045,1014936
2017,2215314,973688
2018,2189248,949341
