Year,Jurisdiction,Category,Tonnes
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Biosolids,0
2018-2019,ACT,Glass,8
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,2127
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,4392
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,6527
2018-2019,ACT,Glass,13444
2018-2019,ACT,Glass,8
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,2127
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,4392
2018-2019,ACT,Glass,0
2018-2019,ACT,Glass,6527
2018-2019,ACT,Glass,13444
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,25979
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,10
2018-2019,ACT,Hazardous,22130
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,9
2018-2019,ACT,Hazardous,48110
2018-2019,ACT,Hazardous,24
2018-2019,ACT,Hazardous,24
2018-2019,ACT,Hazardous,19
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,79
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,40
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,79
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,40
2018-2019,ACT,Hazardous,10
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,104
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4349
2018-2019,ACT,Hazardous,609
2018-2019,ACT,Hazardous,104
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4349
2018-2019,ACT,Hazardous,609
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,49
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,176
2018-2019,ACT,Hazardous,124
2018-2019,ACT,Hazardous,49
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,176
2018-2019,ACT,Hazardous,124
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,66
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,496
2018-2019,ACT,Hazardous,552
2018-2019,ACT,Hazardous,66
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,496
2018-2019,ACT,Hazardous,552
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,12
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,4
2018-2019,ACT,Hazardous,12
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,3
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,21
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,15
2018-2019,ACT,Hazardous,21
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,15
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,2
2018-2019,ACT,Hazardous,1
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,3781
2018-2019,ACT,Hazardous,1960
2018-2019,ACT,Hazardous,140
2018-2019,ACT,Hazardous,1680
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,3781
2018-2019,ACT,Hazardous,1960
2018-2019,ACT,Hazardous,140
2018-2019,ACT,Hazardous,1680
2018-2019,ACT,Hazardous,0
2018-2019,ACT,Hazardous,25989
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,13
2018-2019,ACT,Hazardous,11
2018-2019,ACT,Hazardous,24364
2018-2019,ACT,Hazardous,232
2018-2019,ACT,Hazardous,6731
2018-2019,ACT,Hazardous,1365
2018-2019,ACT,Hazardous,50352
2018-2019,ACT,Hazardous,246
2018-2019,ACT,Hazardous,6744
2018-2019,ACT,Hazardous,1376
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,12009
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,25098
2018-2019,ACT,Masonry materials,422
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,755
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,1177
2018-2019,ACT,Masonry materials,115469
2018-2019,ACT,Masonry materials,7323
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,9861
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,17185
2018-2019,ACT,Masonry materials,0
2018-2019,ACT,Masonry materials,9145
2018-2019,ACT,Masonry materials,12716
2018-2019,ACT,Masonry materials,331
2018-2019,ACT,Masonry materials,22191
2018-2019,ACT,Masonry materials,152576
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,734
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,734
2018-2019,ACT,Metals,1187
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,0
2018-2019,ACT,Metals,30834
2018-2019,ACT,Metals,473
2018-2019,ACT,Metals,2265
2018-2019,ACT,Metals,3355
2018-2019,ACT,Metals,6093
2018-2019,ACT,Metals,32021
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Mining,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,9335
2018-2019,ACT,Organics,7100
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,20402
2018-2019,ACT,Organics,15518
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,29737
2018-2019,ACT,Organics,22618
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,124
2018-2019,ACT,Organics,40
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,1780
2018-2019,ACT,Organics,568
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,7740
2018-2019,ACT,Organics,2467
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,9645
2018-2019,ACT,Organics,3075
2018-2019,ACT,Organics,299548
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,472
2018-2019,ACT,Organics,163
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,5246
2018-2019,ACT,Organics,1816
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,5718
2018-2019,ACT,Organics,1979
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,10795
2018-2019,ACT,Organics,585
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,13695
2018-2019,ACT,Organics,743
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,4286
2018-2019,ACT,Organics,232
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,28776
2018-2019,ACT,Organics,1560
2018-2019,ACT,Organics,11533
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,10919
2018-2019,ACT,Organics,625
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,25282
2018-2019,ACT,Organics,8574
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,37675
2018-2019,ACT,Organics,20034
2018-2019,ACT,Organics,0
2018-2019,ACT,Organics,73877
2018-2019,ACT,Organics,29232
2018-2019,ACT,Organics,311080
2018-2019,ACT,Other,0
2018-2019,ACT,Other,0
2018-2019,ACT,Other,0
2018-2019,ACT,Other,259806
2018-2019,ACT,Other,0
2018-2019,ACT,Other,946
2018-2019,ACT,Other,0
2018-2019,ACT,Other,0
2018-2019,ACT,Other,7016
2018-2019,ACT,Other,0
2018-2019,ACT,Other,0
2018-2019,ACT,Other,3724
2018-2019,ACT,Other,0
2018-2019,ACT,Other,0
2018-2019,ACT,Other,11686
2018-2019,ACT,Other,0
2018-2019,ACT,Other,259806
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,27969
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,760
2018-2019,ACT,Paper & cardboard,256
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,13678
2018-2019,ACT,Paper & cardboard,4608
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,11098
2018-2019,ACT,Paper & cardboard,3739
2018-2019,ACT,Paper & cardboard,0
2018-2019,ACT,Paper & cardboard,25536
2018-2019,ACT,Paper & cardboard,8603
2018-2019,ACT,Paper & cardboard,45218
2018-2019,ACT,Plastics,1067
2018-2019,ACT,Plastics,80
2018-2019,ACT,Plastics,7605
2018-2019,ACT,Plastics,269
2018-2019,ACT,Plastics,13678
2018-2019,ACT,Plastics,4214
2018-2019,ACT,Plastics,22350
2018-2019,ACT,Plastics,4564
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",261
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",90
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",4843
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",1676
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",4722
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",1635
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",0
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",9826
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",3401
2018-2019,ACT,"Textiles, leather & rubber (excl. tyres)",85
2018-2019,NSW,Ash,1617390
2018-2019,NSW,Ash,4251341
2018-2019,NSW,Ash,1617390
2018-2019,NSW,Ash,4251341
2018-2019,NSW,Ash,1617390
2018-2019,NSW,Ash,4251341
2018-2019,NSW,Ash,1617390
2018-2019,NSW,Ash,4251341
2018-2019,NSW,Biosolids,17454
2018-2019,NSW,Biosolids,379624
2018-2019,NSW,Biosolids,17454
2018-2019,NSW,Biosolids,379624
2018-2019,NSW,Biosolids,17454
2018-2019,NSW,Biosolids,379624
2018-2019,NSW,Biosolids,17454
2018-2019,NSW,Biosolids,379624
2018-2019,NSW,Glass,0
2018-2019,NSW,Glass,995
2018-2019,NSW,Glass,42563
2018-2019,NSW,Glass,60295
2018-2019,NSW,Glass,101684
2018-2019,NSW,Glass,191905
2018-2019,NSW,Glass,144247
2018-2019,NSW,Glass,253194
2018-2019,NSW,Glass,0
2018-2019,NSW,Glass,995
2018-2019,NSW,Glass,42563
2018-2019,NSW,Glass,60295
2018-2019,NSW,Glass,101684
2018-2019,NSW,Glass,191905
2018-2019,NSW,Glass,144247
2018-2019,NSW,Glass,253194
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,4936
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,4936
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,13474
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,13474
2018-2019,NSW,Hazardous,712141
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,606638
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,1318779
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,3816
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,6807
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,3816
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,6807
2018-2019,NSW,Hazardous,552225
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,40228
2018-2019,NSW,Hazardous,214754
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,15644
2018-2019,NSW,Hazardous,766979
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,55873
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,911
2018-2019,NSW,Hazardous,98361
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,911
2018-2019,NSW,Hazardous,98361
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,9483
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,36576
2018-2019,NSW,Hazardous,45296
2018-2019,NSW,Hazardous,9483
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,36576
2018-2019,NSW,Hazardous,45296
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,5
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,12143
2018-2019,NSW,Hazardous,201042
2018-2019,NSW,Hazardous,5
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,12143
2018-2019,NSW,Hazardous,201042
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,166
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,615
2018-2019,NSW,Hazardous,8820
2018-2019,NSW,Hazardous,166
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,615
2018-2019,NSW,Hazardous,8820
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,139
2018-2019,NSW,Hazardous,925
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,139
2018-2019,NSW,Hazardous,925
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,12834
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,12834
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,4
2018-2019,NSW,Hazardous,436
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,4
2018-2019,NSW,Hazardous,436
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,3
2018-2019,NSW,Hazardous,4315
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,3
2018-2019,NSW,Hazardous,4315
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,61831
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,8623
2018-2019,NSW,Hazardous,23722
2018-2019,NSW,Hazardous,61831
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,8623
2018-2019,NSW,Hazardous,23722
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,60
2018-2019,NSW,Hazardous,13502
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,60
2018-2019,NSW,Hazardous,13502
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,1831
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,1831
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,327
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,327
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,69
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,69
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,49076
2018-2019,NSW,Hazardous,46493
2018-2019,NSW,Hazardous,2691
2018-2019,NSW,Hazardous,45309
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,49076
2018-2019,NSW,Hazardous,46493
2018-2019,NSW,Hazardous,2691
2018-2019,NSW,Hazardous,45309
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,1264365
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,0
2018-2019,NSW,Hazardous,40228
2018-2019,NSW,Hazardous,939370
2018-2019,NSW,Hazardous,6506
2018-2019,NSW,Hazardous,104384
2018-2019,NSW,Hazardous,452343
2018-2019,NSW,Hazardous,2203735
2018-2019,NSW,Hazardous,6506
2018-2019,NSW,Hazardous,104384
2018-2019,NSW,Hazardous,492571
2018-2019,NSW,Masonry materials,85275
2018-2019,NSW,Masonry materials,0
2018-2019,NSW,Masonry materials,0
2018-2019,NSW,Masonry materials,85275
2018-2019,NSW,Masonry materials,1291060
2018-2019,NSW,Masonry materials,325
2018-2019,NSW,Masonry materials,161
2018-2019,NSW,Masonry materials,1291546
2018-2019,NSW,Masonry materials,1291060
2018-2019,NSW,Masonry materials,186
2018-2019,NSW,Masonry materials,92
2018-2019,NSW,Masonry materials,1291339
2018-2019,NSW,Masonry materials,24553
2018-2019,NSW,Masonry materials,1
2018-2019,NSW,Masonry materials,0
2018-2019,NSW,Masonry materials,24554
2018-2019,NSW,Masonry materials,4309002
2018-2019,NSW,Masonry materials,0
2018-2019,NSW,Masonry materials,0
2018-2019,NSW,Masonry materials,4309003
2018-2019,NSW,Masonry materials,551368
2018-2019,NSW,Masonry materials,7000950
2018-2019,NSW,Masonry materials,214817
2018-2019,NSW,Masonry materials,513
2018-2019,NSW,Masonry materials,46237
2018-2019,NSW,Masonry materials,254
2018-2019,NSW,Masonry materials,812423
2018-2019,NSW,Masonry materials,7001716
